TransactionID,Date,Time,Branch,ServerID,CustomerID,MenuItemID,Qty,UnitPrice,Discount,PaymentType
1001,2024-07-04,19:06,Midtown,S013,C016,M179,2,14.83,0,Cash
1002,2024-03-25,14:18,Midtown,S011,C291,M173,1,4.34,0,Debit
1003,2024-10-07,12:06,Downtown,S005,C211,M188,1,3.08,10,Credit
1004,2025-05-23,20:47,Downtown,S027,C077,M141,1,4.2,0,Debit
1005,2025-02-16,13:44,Uptown,S020,C326,M202,1,15.36,10,Cash
1006,2025-08-03,14:46,Westside,S026,C285,M163,1,17.16,0,Credit
1007,2024-04-08,12:15,Westside,S014,C376,M111,1,13.44,0,Debit
1008,2024-10-12,21:17,Uptown,S004,C044,M167,1,4.22,0,Credit
1009,2025-06-23,17:53,Uptown,S020,C361,M166,1,14.68,10,Debit
1010,2025-08-15,20:18,Westside,S014,C265,M182,1,15.73,0,Credit
1011,2025-03-02,12:40,Uptown,S004,C295,M189,1,4.6,0,Credit
1012,2024-04-25,15:33,Downtown,S027,C048,M111,2,12.97,0,Cash
1013,2024-05-17,18:10,Downtown,S003,C198,M197,1,3.41,0,Credit
1014,2025-02-13,18:05,Westside,S026,C380,M164,2,7.59,0,Credit
1015,2024-11-09,12:44,Uptown,S004,C320,M139,1,2.64,0,Credit
1016,2025-01-06,13:44,Midtown,S013,C496,M185,1,4.0,0,Cash
1017,2024-07-24,20:37,Uptown,S004,C225,M129,2,7.82,5,Debit
1018,2025-09-20,11:42,Midtown,S008,C400,M118,1,17.74,0,Credit
1019,2024-04-21,18:08,Downtown,S002,C264,M135,1,3.49,0,Debit
1020,2024-03-22,20:57,Midtown,S013,C426,M209,1,4.6,0,Debit
1021,2024-04-22,14:20,Downtown,S005,C006,M176,1,3.68,0,Credit
1022,2024-02-05,12:54,Midtown,S012,C011,M168,1,2.85,0,Credit
1023,2025-03-06,20:45,Downtown,S021,C297,M185,1,4.0,0,Credit
1024,2025-07-30,18:53,Midtown,S006,C076,M150,1,3.21,0,Cash
1025,2025-09-04,12:50,Uptown,S020,C367,M115,1,18.63,5,Credit
1026,2024-01-30,18:37,Airport,S018,C356,M158,1,5.08,0,Cash
1027,2024-11-29,11:03,Downtown,S002,C090,M186,1,4.26,0,Debit
1028,2024-01-28,22:57,Westside,S014,C228,M186,1,4.26,5,Debit
1029,2024-10-05,22:28,Midtown,S009,C358,M158,1,5.46,0,Credit
1030,2025-09-10,08:28,Downtown,S027,C486,M214,1,5.29,0,Credit
1031,2025-08-21,18:40,Uptown,S017,C352,M198,2,4.52,0,Credit
1032,2025-04-10,08:28,Uptown,S020,C237,M144,1,3.79,0,Credit
1033,2024-01-15,14:09,Midtown,S006,C049,M152,3,4.32,5,Credit
1034,2024-05-17,22:16,Midtown,S012,C190,M182,1,15.73,0,Cash
1035,2024-03-20,09:59,Uptown,S004,C429,M108,1,4.05,0,Cash
1036,2024-08-04,19:23,Airport,S010,C238,M151,1,4.11,0,Credit
1037,2025-04-11,09:42,Uptown,S004,C177,M167,2,4.22,5,GiftCard
1038,2025-07-18,19:25,Midtown,S011,C071,M190,1,3.01,0,Credit
1039,2024-10-17,09:54,Westside,S022,C343,M163,1,17.16,0,Cash
1040,2025-01-26,19:04,Uptown,S004,C326,M191,1,4.24,0,Debit
1041,2024-07-25,21:47,Downtown,S030,C317,M112,1,12.49,10,Cash
1042,2024-11-24,21:37,Downtown,S003,C211,M137,2,4.37,0,Debit
1043,2025-09-17,11:23,Uptown,S017,C492,M162,2,4.21,0,Credit
1044,2025-09-17,12:58,Airport,S018,C223,M202,1,15.36,5,Credit
1045,2024-05-01,09:54,Midtown,S012,C146,M181,1,3.66,0,Credit
1046,2024-10-29,21:13,Downtown,S025,C026,M141,1,4.2,0,Cash
1047,2024-12-15,20:53,Airport,S023,C364,M194,2,3.37,15,Credit
1048,2025-07-02,18:53,Uptown,S020,C140,M144,2,3.79,5,Credit
1049,2024-05-24,15:32,Airport,S001,C254,M202,2,14.73,0,Credit
1050,2025-03-06,17:33,Westside,S022,C178,M219,3,14.34,0,Cash
1051,2024-03-05,15:16,Midtown,S012,C283,M196,1,4.17,5,Credit
1052,2024-11-11,17:59,Westside,S016,C120,M107,1,4.29,0,Cash
1053,2024-05-24,20:30,Midtown,S013,C056,M111,1,13.44,0,GiftCard
1054,2024-11-27,17:02,Airport,S029,C089,M131,1,3.78,10,cash
1055,2024-06-14,17:05,Airport,S018,C137,M145,1,2.34,10,Credit
1056,2024-05-03,11:52,Airport,S018,C193,M128,3,5.06,0,Credit
1057,2024-05-24,12:38,Uptown,S004,C467,M166,2,14.68,0,Credit
1058,2024-07-19,14:39,Midtown,S011,C383,M179,3,14.83,0,Credit
1059,2025-03-31,21:05,Airport,S001,C019,M132,2,2.42,10,Credit
1060,2024-02-29,20:07,Uptown,S017,C018,M183,1,3.73,0,Credit
1061,2024-08-10,16:56,Westside,S007,C486,M122,2,7.28,0,debit
1062,2024-09-07,16:05,Midtown,S011,C440,M165,1,2.51,0,Credit
1063,2025-04-17,20:21,Uptown,S017,C305,M187,1,11.43,0,Credit
1064,2024-12-26,17:21,Westside,S022,C412,M136,2,2.32,0,Credit
1065,2025-01-03,20:01,Uptown,S004,C159,M131,1,3.78,0,Debit
1066,2024-06-17,20:11,Downtown,S027,C058,M171,1,3.14,0,Cash
1067,2024-04-25,08:27,Westside,S016,C200,M133,1,3.23,10,Debit
1068,2025-08-20,12:34,Airport,S029,C093,M103,1,4.66,5,Cash
1069,2024-10-27,18:37,Downtown,S027,C386,M167,1,4.22,0,Debit
1070,2025-08-11,20:20,Westside,S016,C058,M199,2,4.3,0,Credit
